Frame,K0_x,K0_y,K0_z,K0_visibility,K1_x,K1_y,K1_z,K1_visibility,K2_x,K2_y,K2_z,K2_visibility,K3_x,K3_y,K3_z,K3_visibility,K4_x,K4_y,K4_z,K4_visibility,K5_x,K5_y,K5_z,K5_visibility,K6_x,K6_y,K6_z,K6_visibility,K7_x,K7_y,K7_z,K7_visibility,K8_x,K8_y,K8_z,K8_visibility,K9_x,K9_y,K9_z,K9_visibility,K10_x,K10_y,K10_z,K10_visibility,K11_x,K11_y,K11_z,K11_visibility,K12_x,K12_y,K12_z,K12_visibility,K13_x,K13_y,K13_z,K13_visibility,K14_x,K14_y,K14_z,K14_visibility,K15_x,K15_y,K15_z,K15_visibility,K16_x,K16_y,K16_z,K16_visibility,K17_x,K17_y,K17_z,K17_visibility,K18_x,K18_y,K18_z,K18_visibility,K19_x,K19_y,K19_z,K19_visibility,K20_x,K20_y,K20_z,K20_visibility,K21_x,K21_y,K21_z,K21_visibility,K22_x,K22_y,K22_z,K22_visibility,K23_x,K23_y,K23_z,K23_visibility,K24_x,K24_y,K24_z,K24_visibility,K25_x,K25_y,K25_z,K25_visibility,K26_x,K26_y,K26_z,K26_visibility,K27_x,K27_y,K27_z,K27_visibility,K28_x,K28_y,K28_z,K28_visibility,K29_x,K29_y,K29_z,K29_visibility,K30_x,K30_y,K30_z,K30_visibility,K31_x,K31_y,K31_z,K31_visibility,K32_x,K32_y,K32_z,K32_visibility
0,0.49845090508461,0.15619277954101562,-0.31407490372657776,0.9999884366989136,0.5018473863601685,0.1394164264202118,-0.29243889451026917,0.9999837875366211,0.5050899982452393,0.13922658562660217,-0.2925005257129669,0.9999780654907227,0.5078020095825195,0.13903647661209106,-0.29255351424217224,0.9999769926071167,0.4903694987297058,0.14237338304519653,-0.2974419891834259,0.9999839067459106,0.48612886667251587,0.1445748507976532,-0.29748257994651794,0.9999806880950928,0.48282212018966675,0.14691999554634094,-0.2975306808948517,0.9999827146530151,0.5110985636711121,0.14914312958717346,-0.16449204087257385,0.9999595880508423,0.47637397050857544,0.16348931193351746,-0.1875336617231369,0.9999867677688599,0.5073916912078857,0.17812561988830566,-0.2660338282585144,0.9999940395355225,0.4919470250606537,0.18027809262275696,-0.27265310287475586,0.9999967813491821,0.539658784866333,0.2710968255996704,-0.060111306607723236,0.9999512434005737,0.44987553358078003,0.2835579514503479,-0.12882840633392334,0.999879002571106,0.557848334312439,0.38687241077423096,-0.008238807320594788,0.9817278385162354,0.4062020182609558,0.3991680443286896,-0.12199965864419937,0.9927902221679688,0.5715986490249634,0.479425311088562,-0.13178560137748718,0.9597062468528748,0.448241651058197,0.48068565130233765,-0.2224336415529251,0.9440644979476929,0.5754274129867554,0.5135932564735413,-0.1665809452533722,0.9187753200531006,0.4565781056880951,0.5099625587463379,-0.2543478012084961,0.8744453191757202,0.5712007880210876,0.5128684043884277,-0.19404618442058563,0.9259166717529297,0.46333950757980347,0.5023425221443176,-0.27550986409187317,0.8753775954246521,0.5690886378288269,0.501772940158844,-0.14546090364456177,0.9154706001281738,0.4617885947227478,0.4913778603076935,-0.23068717122077942,0.8441219329833984,0.5100010633468628,0.5145844221115112,0.030458535999059677,0.9993014335632324,0.467125803232193,0.5129225254058838,-0.03050985559821129,0.9981915354728699,0.5307445526123047,0.6905904412269592,-0.02430049516260624,0.8931679129600525,0.4512874484062195,0.7087000012397766,-0.047020137310028076,0.9312096238136292,0.5158600807189941,0.8740171790122986,0.15428537130355835,0.8860334753990173,0.46319836378097534,0.8588727116584778,0.13213329017162323,0.8696770071983337,0.5044441819190979,0.8942095637321472,0.16439984738826752,0.7511752247810364,0.4619438052177429,0.8787082433700562,0.1437397450208664,0.5082257986068726,0.5481421947479248,0.9191052913665771,0.04139097034931183,0.8537237644195557,0.4662479758262634,0.9176156520843506,0.008305596187710762,0.8102517127990723
1,0.49906930327415466,0.15691733360290527,-0.33707863092422485,0.9999890923500061,0.5027095079421997,0.14175838232040405,-0.31601858139038086,0.9999843835830688,0.5059928894042969,0.14176873862743378,-0.31605619192123413,0.9999791979789734,0.5089620351791382,0.14179426431655884,-0.31610405445098877,0.9999781250953674,0.49088945984840393,0.14366507530212402,-0.32118794322013855,0.9999843239784241,0.4865446984767914,0.14541536569595337,-0.32123124599456787,0.9999813437461853,0.4829169809818268,0.14767663180828094,-0.321226567029953,0.9999829530715942,0.513209342956543,0.1527855545282364,-0.19001956284046173,0.9999614357948303,0.47667717933654785,0.1640305370092392,-0.2148631364107132,0.9999867081642151,0.5076510906219482,0.17989104986190796,-0.29006820917129517,0.999994158744812,0.49241429567337036,0.1824585348367691,-0.29714781045913696,0.9999966621398926,0.5398305058479309,0.27335506677627563,-0.08321764320135117,0.999954342842102,0.45115041732788086,0.2836281955242157,-0.15188831090927124,0.9998793601989746,0.5583516359329224,0.3867667317390442,-0.019380968064069748,0.9829064011573792,0.40801453590393066,0.39953163266181946,-0.1309576779603958,0.9930440187454224,0.5764508843421936,0.47877803444862366,-0.13095389306545258,0.9627242088317871,0.4469042718410492,0.48870986700057983,-0.21701554954051971,0.9462285041809082,0.5829635262489319,0.5132886171340942,-0.16261175274848938,0.9241304993629456,0.45516353845596313,0.5210391283035278,-0.24800634384155273,0.8783640265464783,0.5798962116241455,0.512837290763855,-0.1935376524925232,0.9307987689971924,0.463034451007843,0.5173609256744385,-0.2701989710330963,0.8792060613632202,0.5769699811935425,0.5016981959342957,-0.14528313279151917,0.9208390712738037,0.4610235095024109,0.5036157965660095,-0.22600717842578888,0.8491522073745728,0.509414792060852,0.5153113007545471,0.028295615687966347,0.9993423819541931,0.46396303176879883,0.5126129388809204,-0.028298715129494667,0.9982876777648926,0.5337643027305603,0.6912094354629517,-0.0499538779258728,0.8997207880020142,0.45005732774734497,0.7082568407058716,-0.04221465438604355,0.9348167181015015,0.5158487558364868,0.8732925653457642,0.09542851150035858,0.8920814394950867,0.45780739188194275,0.8550437688827515,0.13035772740840912,0.8760952949523926,0.5041665434837341,0.8932453393936157,0.10194100439548492,0.7591906785964966,0.4612610936164856,0.8763954043388367,0.14015105366706848,0.515717625617981,0.5483453273773193,0.9188730120658875,-0.027714606374502182,0.8602219223976135,0.4610931873321533,0.917626678943634,0.0028796771075576544,0.8187079429626465
2,0.5008938908576965,0.16351169347763062,-0.34927600622177124,0.9999899864196777,0.5049058198928833,0.14721152186393738,-0.32511627674102783,0.9999855160713196,0.5082642436027527,0.1474473774433136,-0.32516345381736755,0.9999808073043823,0.5114721059799194,0.14776219427585602,-0.3252037763595581,0.9999797344207764,0.4929722845554352,0.14870889484882355,-0.3300224840641022,0.99998539686203,0.4882471561431885,0.15034832060337067,-0.33006346225738525,0.9999826550483704,0.48431167006492615,0.15241500735282898,-0.33004316687583923,0.9999839663505554,0.5162988901138306,0.16017034649848938,-0.19114765524864197,0.9999639391899109,0.4780900478363037,0.1679745614528656,-0.215121790766716,0.9999874234199524,0.5088232755661011,0.1880783885717392,-0.30011457204818726,0.9999944567680359,0.4941760003566742,0.1892702281475067,-0.3068772554397583,0.9999967813491821,0.5406033992767334,0.28503066301345825,-0.08555999398231506,0.9999576807022095,0.45154985785484314,0.2888496220111847,-0.15609680116176605,0.9998849034309387,0.5614264607429504,0.38814079761505127,-0.04853753373026848,0.9838492274284363,0.40875402092933655,0.40548408031463623,-0.14290539920330048,0.9932029247283936,0.5859952569007874,0.47999730706214905,-0.18826904892921448,0.9655109643936157,0.4384883940219879,0.5139896869659424,-0.22838076949119568,0.9485825896263123,0.5942017436027527,0.5155850648880005,-0.2241460084915161,0.9292634129524231,0.44442445039749146,0.5515212416648865,-0.26159098744392395,0.8829566240310669,0.5909490585327148,0.5152491331100464,-0.2564965486526489,0.9355339407920837,0.45383113622665405,0.5482545495033264,-0.28592708706855774,0.8838534355163574,0.5870374441146851,0.5039846301078796,-0.20450425148010254,0.9260521531105042,0.45263567566871643,0.5335404872894287,-0.23898279666900635,0.8554285764694214,0.5090540647506714,0.5213170647621155,0.029267296195030212,0.9993813633918762,0.46199744939804077,0.5138957500457764,-0.029275840148329735,0.9983869791030884,0.537329912185669,0.6925007104873657,-0.04975683242082596,0.9026317596435547,0.44786033034324646,0.7083534002304077,-0.10557029396295547,0.9384360909461975,0.5158184170722961,0.873779833316803,0.11592942476272583,0.8962172865867615,0.45277881622314453,0.8447827696800232,0.07519981265068054,0.8827112913131714,0.503656268119812,0.895227313041687,0.12452902644872665,0.7675489783287048,0.4584597051143646,0.8697654008865356,0.08632784336805344,0.5279736518859863,0.5516881942749023,0.9193494915962219,0.0004588054434861988,0.8647267818450928,0.4556557536125183,0.917192816734314,-0.04817800596356392,0.8281396627426147
3,0.5054502487182617,0.17485740780830383,-0.3465098738670349,0.9999906420707703,0.5091326236724854,0.16011939942836761,-0.32308921217918396,0.9999862313270569,0.512191653251648,0.16061191260814667,-0.32314592599868774,0.9999819397926331,0.5152161717414856,0.16125652194023132,-0.3231772780418396,0.9999808073043823,0.4981516897678375,0.1605284959077835,-0.3290833532810211,0.9999860525131226,0.4934460520744324,0.16183066368103027,-0.32913437485694885,0.999983549118042,0.48917102813720703,0.16338641941547394,-0.32912594079971313,0.9999845623970032,0.5191370248794556,0.17386303842067719,-0.1906021535396576,0.9999656081199646,0.4818245470523834,0.17765046656131744,-0.21986353397369385,0.9999878406524658,0.5124342441558838,0.1992623656988144,-0.29802069067955017,0.999994695186615,0.49930843710899353,0.1978726089000702,-0.3062981963157654,0.9999968409538269,0.5415557026863098,0.29572534561157227,-0.0860002189874649,0.9999606013298035,0.45154672861099243,0.2973041832447052,-0.1621784269809723,0.9998921751976013,0.565315842628479,0.3921448588371277,-0.04619475454092026,0.9848105907440186,0.40919893980026245,0.4216567873954773,-0.14394542574882507,0.9934824109077454,0.5934367775917053,0.4863315224647522,-0.18501007556915283,0.9678922295570374,0.42965927720069885,0.5421716570854187,-0.22962291538715363,0.9514318108558655,0.6010693907737732,0.5210432410240173,-0.220744326710701,0.9334285855293274,0.434265673160553,0.5771921873092651,-0.26208463311195374,0.888824999332428,0.5982891917228699,0.5203092694282532,-0.2542167007923126,0.9393997192382812,0.44168204069137573,0.5734202265739441,-0.29009711742401123,0.8898557424545288,0.5945814847946167,0.5102001428604126,-0.2020278424024582,0.9305121898651123,0.4418582022190094,0.5608398914337158,-0.24164727330207825,0.8634103536605835,0.5086196064949036,0.5334500074386597,0.03193294256925583,0.9994045495986938,0.46131905913352966,0.5249838829040527,-0.03191643953323364,0.9984588027000427,0.5406486392021179,0.7009586691856384,-0.016892366111278534,0.9038317799568176,0.4463981091976166,0.7136630415916443,-0.10223797708749771,0.9412776231765747,0.5150436162948608,0.8749144673347473,0.1684822142124176,0.8954227566719055,0.4509182572364807,0.8565077781677246,0.0876200720667839,0.8871263265609741,0.5027621984481812,0.8983323574066162,0.17928467690944672,0.7702784538269043,0.4525483250617981,0.8770220279693604,0.09695887565612793,0.5348396897315979,0.5524123311042786,0.9202660322189331,0.06523875892162323,0.8634299039840698,0.450582891702652,0.927376389503479,-0.03574450686573982,0.8332115411758423
4,0.5076699256896973,0.18932147324085236,-0.38366374373435974,0.9999915361404419,0.511764645576477,0.17347081005573273,-0.3617306351661682,0.9999874234199524,0.5149353742599487,0.1740010380744934,-0.36177200078964233,0.999983549118042,0.518166720867157,0.17463023960590363,-0.36180439591407776,0.999982476234436,0.5006619095802307,0.17354072630405426,-0.36637550592422485,0.9999872446060181,0.4958413541316986,0.1741361767053604,-0.36642661690711975,0.9999849796295166,0.4912765920162201,0.17475317418575287,-0.3663811683654785,0.9999858736991882,0.5230076909065247,0.18719448149204254,-0.23116660118103027,0.9999684691429138,0.4837183356285095,0.18658669292926788,-0.25493067502975464,0.999988853931427,0.5142180919647217,0.2117520272731781,-0.33555951714515686,0.9999951124191284,0.5010161995887756,0.2101822942495346,-0.34220224618911743,0.999997079372406,0.5431037545204163,0.30130523443222046,-0.1256299912929535,0.9999639391899109,0.45154857635498047,0.3044750988483429,-0.18964894115924835,0.9999008774757385,0.5680513978004456,0.4002622365951538,-0.0907573327422142,0.985805094242096,0.4102586805820465,0.4325467348098755,-0.17665274441242218,0.9938222169876099,0.5992684364318848,0.5018615126609802,-0.22862383723258972,0.9702589511871338,0.4201951026916504,0.5560614466667175,-0.268291175365448,0.95484858751297,0.6067005395889282,0.5363521575927734,-0.26340237259864807,0.9376903772354126,0.4260168969631195,0.5915879011154175,-0.30294719338417053,0.8959903120994568,0.6041721105575562,0.5357571244239807,-0.29856497049331665,0.9433706402778625,0.4333307147026062,0.5908101797103882,-0.32832959294319153,0.8970784544944763,0.6007545590400696,0.5263280868530273,-0.246233269572258,0.9351211786270142,0.4336704611778259,0.5795491337776184,-0.27982866764068604,0.8726555109024048,0.5087554454803467,0.5366210341453552,0.03202725574374199,0.9994479417800903,0.4615049958229065,0.5281375050544739,-0.03202321007847786,0.9985764622688293,0.5445442199707031,0.7071914672851562,-0.020123083144426346,0.9076498746871948,0.44661960005760193,0.711249053478241,-0.09735142439603806,0.9459401369094849,0.5150408744812012,0.874855637550354,0.18079620599746704,0.9007986783981323,0.44948816299438477,0.8397997617721558,0.10310648381710052,0.8960931897163391,0.5022764205932617,0.8982847332954407,0.1938595175743103,0.7821030020713806,0.45270881056785583,0.858258068561554,0.11221329867839813,0.5610364079475403,0.5527269840240479,0.9206001162528992,0.0851035863161087,0.8704458475112915,0.4503961503505707,0.91297447681427,-0.012777651660144329,0.8456870317459106
5,0.5083929896354675,0.20100389420986176,-0.39637503027915955,0.999992311000824,0.5125438570976257,0.18677398562431335,-0.374095618724823,0.9999884366989136,0.51585853099823,0.18731017410755157,-0.3741393983364105,0.9999849200248718,0.5192480087280273,0.1881568282842636,-0.37418419122695923,0.9999839663505554,0.5018880367279053,0.18613459169864655,-0.3782031238079071,0.999988317489624,0.49740275740623474,0.1862211674451828,-0.37826141715049744,0.9999862313270569,0.4930483400821686,0.18656373023986816,-0.3782220780849457,0.999987006187439,0.5245784521102905,0.20072636008262634,-0.24585933983325958,0.9999710321426392,0.4856904447078705,0.19792963564395905,-0.2666918635368347,0.9999896883964539,0.5149827599525452,0.2225797027349472,-0.34956222772598267,0.9999955296516418,0.5014389753341675,0.22089199721813202,-0.35533013939857483,0.9999973177909851,0.5449532270431519,0.31204721331596375,-0.15049824118614197,0.9999670386314392,0.45154327154159546,0.31581243872642517,-0.19862493872642517,0.9999083280563354,0.5736339688301086,0.4194919466972351,-0.12047622352838516,0.9869130253791809,0.4111329913139343,0.4484073221683502,-0.19241034984588623,0.9938886761665344,0.6040228009223938,0.5261339545249939,-0.247257798910141,0.9725111722946167,0.41450533270835876,0.5769401788711548,-0.29191720485687256,0.9571948647499084,0.6136634349822998,0.5624558329582214,-0.2806132733821869,0.9416601061820984,0.418048232793808,0.615102231502533,-0.32709169387817383,0.9008870124816895,0.6093794107437134,0.5621331334114075,-0.31528240442276,0.9470484852790833,0.42550379037857056,0.6179989576339722,-0.353751003742218,0.9021185040473938,0.6050724387168884,0.5520422458648682,-0.2641737461090088,0.9394004344940186,0.4270249307155609,0.606429934501648,-0.3044068515300751,0.8795924782752991,0.5087605714797974,0.549751877784729,0.027875134721398354,0.9994896054267883,0.4615112841129303,0.5361742377281189,-0.02789061702787876,0.9986925721168518,0.5478149056434631,0.7189937233924866,-0.04488560929894447,0.9131320118904114,0.44574517011642456,0.7109597325325012,-0.13608059287071228,0.9504227638244629,0.5149176716804504,0.8745368719100952,0.17920979857444763,0.9068783521652222,0.44964319467544556,0.8345228433609009,0.10555398464202881,0.9047001600265503,0.5015406608581543,0.8976631760597229,0.19401618838310242,0.7931508421897888,0.45327097177505493,0.8512921929359436,0.11919635534286499,0.5903015732765198,0.5525722503662109,0.9212561845779419,0.08328305184841156,0.8775278329849243,0.4485946595668793,0.9022445678710938,-0.0018749373266473413,0.8579759001731873
6,0.5107783675193787,0.22048860788345337,-0.4097233712673187,0.9999930262565613,0.5154358148574829,0.20597288012504578,-0.3883651793003082,0.9999893307685852,0.518906831741333,0.20680953562259674,-0.3884046971797943,0.9999861121177673,0.5223311185836792,0.20783846080303192,-0.38847193121910095,0.9999852180480957,0.5052945613861084,0.20476625859737396,-0.3933996856212616,0.9999892711639404,0.5012041330337524,0.20469263195991516,-0.3934788107872009,0.9999873638153076,0.4968021810054779,0.20489859580993652,-0.39345166087150574,0.9999880790710449,0.5263874530792236,0.2175762951374054,-0.26086360216140747,0.9999732375144958,0.48922353982925415,0.21356076002120972,-0.285855233669281,0.9999904632568359,0.5164409875869751,0.2412342131137848,-0.3625065088272095,0.9999958276748657,0.503659188747406,0.23884990811347961,-0.36950594186782837,0.9999974966049194,0.5459867715835571,0.32274001836776733,-0.1613021194934845,0.9999694228172302,0.4516597390174866,0.32637014985084534,-0.21739690005779266,0.999915361404419,0.5769760012626648,0.4421726167201996,-0.12030266225337982,0.98796147108078,0.4111121594905853,0.46134838461875916,-0.21020276844501495,0.9940145015716553,0.6055474877357483,0.5522330403327942,-0.22165577113628387,0.9744808077812195,0.40717607736587524,0.5954444408416748,-0.30261027812957764,0.9593296647071838,0.6150836944580078,0.5887076258659363,-0.24987728893756866,0.9448851943016052,0.4070747494697571,0.636561393737793,-0.334847629070282,0.905344545841217,0.6106685400009155,0.5904774069786072,-0.283378928899765,0.9500072002410889,0.4150826036930084,0.6384560465812683,-0.3631201386451721,0.9068025350570679,0.6069709062576294,0.5785616636276245,-0.23760294914245605,0.9428802132606506,0.4173431396484375,0.6253827214241028,-0.3155081570148468,0.885887622833252,0.5088708400726318,0.5579648613929749,0.02716008387506008,0.9995191097259521,0.4616277813911438,0.5443337559700012,-0.027195265516638756,0.9987958669662476,0.5498952269554138,0.7260419130325317,-0.0606970489025116,0.9181340336799622,0.44557246565818787,0.7070366740226746,-0.1521129012107849,0.9543384909629822,0.5149189829826355,0.874662458896637,0.1498279869556427,0.9115418195724487,0.4505520462989807,0.8429783582687378,0.06168396398425102,0.9125859141349792,0.5011491179466248,0.89820396900177,0.16399599611759186,0.8038184642791748,0.45576047897338867,0.8604943752288818,0.07636278122663498,0.6178793907165527,0.5527195930480957,0.9219000935554504,0.07489977777004242,0.8825019598007202,0.444929301738739,0.9046353697776794,-0.0427616611123085,0.8689224720001221
7,0.5128369927406311,0.25147756934165955,-0.4088255763053894,0.999993622303009,0.5183690190315247,0.2361845225095749,-0.38988515734672546,0.9999901652336121,0.5221045613288879,0.23722101747989655,-0.38992583751678467,0.9999872446060181,0.5257651209831238,0.23848851025104523,-0.38999465107917786,0.9999864101409912,0.5079238414764404,0.23384471237659454,-0.39395296573638916,0.9999901652336121,0.5039077401161194,0.23336993157863617,-0.39404210448265076,0.9999884366989136,0.4997461438179016,0.23321086168289185,-0.39401596784591675,0.9999890327453613,0.529571533203125,0.24573419988155365,-0.26824328303337097,0.9999754428863525,0.49250635504722595,0.23957222700119019,-0.28830939531326294,0.999991238117218,0.5173040628433228,0.2733134925365448,-0.3627642095088959,0.9999961256980896,0.5050678253173828,0.2707822620868683,-0.3684180676937103,0.9999976754188538,0.5474458932876587,0.33921584486961365,-0.16872237622737885,0.9999718070030212,0.4525936543941498,0.3380703926086426,-0.21457414329051971,0.9999226331710815,0.5770580172538757,0.46287253499031067,-0.12937240302562714,0.9890115857124329,0.41200223565101624,0.4712526500225067,-0.20176556706428528,0.9941831827163696,0.6025104522705078,0.5771088004112244,-0.21589858829975128,0.9763874411582947,0.4030168950557709,0.6075210571289062,-0.2862544059753418,0.9612504243850708,0.6103927493095398,0.6134618520736694,-0.2409241944551468,0.9480074644088745,0.3999535143375397,0.6485279202461243,-0.31628087162971497,0.9088693857192993,0.6060091257095337,0.6151882410049438,-0.2731175720691681,0.952850341796875,0.4063778519630432,0.6505305171012878,-0.3451618552207947,0.9106946587562561,0.6027570962905884,0.603005588054657,-0.23072370886802673,0.9462357759475708,0.40932124853134155,0.6371158361434937,-0.29951897263526917,0.8916306495666504,0.5089605450630188,0.5640900135040283,0.02599598467350006,0.9995455145835876,0.4618125855922699,0.5499272346496582,-0.026019688695669174,0.9988953471183777,0.5523840188980103,0.7277869582176208,-0.10726822912693024,0.920977771282196,0.4467620849609375,0.6846692562103271,-0.2157277762889862,0.9575925469398499,0.5156325697898865,0.8745608925819397,0.04727572947740555,0.9123227000236511,0.4517342150211334,0.8526599407196045,-0.0527612566947937,0.9191272258758545,0.5011619925498962,0.8977527022361755,0.05538497120141983,0.8083652853965759,0.456494003534317,0.871202826499939,-0.042528267949819565,0.6421294808387756,0.5531212687492371,0.9222075343132019,-0.049196574836969376,0.8823100328445435,0.443869024515152,0.9060395956039429,-0.1646544486284256,0.8779763579368591
8,0.5159661769866943,0.2813866138458252,-0.3972580134868622,0.9999940991401672,0.5215262174606323,0.26506587862968445,-0.3813401460647583,0.9999907612800598,0.5252712368965149,0.2657642662525177,-0.3813785910606384,0.9999880194664001,0.5288712978363037,0.2664356529712677,-0.3814597725868225,0.9999873042106628,0.51056969165802,0.26196444034576416,-0.38509222865104675,0.9999907612800598,0.5062154531478882,0.26069074869155884,-0.385171115398407,0.9999891519546509,0.5018760561943054,0.2598472535610199,-0.38514262437820435,0.9999896883964539,0.5317227244377136,0.27124667167663574,-0.26875239610671997,0.999977171421051,0.49377521872520447,0.263656347990036,-0.2872999608516693,0.9999915957450867,0.5202217698097229,0.30075305700302124,-0.35321152210235596,0.9999963641166687,0.5075200796127319,0.29860660433769226,-0.35855454206466675,0.9999977946281433,0.5494236946105957,0.3576236665248871,-0.17060840129852295,0.9999740123748779,0.453239381313324,0.3532707989215851,-0.21542680263519287,0.9999285936355591,0.5762995481491089,0.4841441810131073,-0.12595608830451965,0.9899183511734009,0.41342082619667053,0.4815256893634796,-0.19604454934597015,0.9944908618927002,0.6005077362060547,0.604169487953186,-0.20651152729988098,0.9781270027160645,0.4013794958591461,0.611388623714447,-0.27664849162101746,0.9637333154678345,0.6088980436325073,0.6366627812385559,-0.2351689636707306,0.9510529041290283,0.3966737687587738,0.651559054851532,-0.3062419593334198,0.9142109155654907,0.6045504212379456,0.6367387771606445,-0.26178207993507385,0.9555935263633728,0.4026346206665039,0.6543743014335632,-0.3406825661659241,0.9162668585777283,0.6007200479507446,0.6274029016494751,-0.22340767085552216,0.9495266675949097,0.40566253662109375,0.6406615972518921,-0.28782814741134644,0.8989028930664062,0.5089661478996277,0.575762152671814,0.02639460191130638,0.9995585680007935,0.4618651866912842,0.5636637210845947,-0.026440521702170372,0.9989393353462219,0.5540667772293091,0.7338649034500122,-0.09061180055141449,0.9214029312133789,0.4506154954433441,0.6987292170524597,-0.2068849802017212,0.9575588703155518,0.5155893564224243,0.8747550249099731,0.06971357762813568,0.9066478610038757,0.4520716667175293,0.8681572079658508,0.012966590002179146,0.9206523895263672,0.5003707408905029,0.8975738286972046,0.0799727737903595,0.805075466632843,0.45619550347328186,0.8861023187637329,0.021301638334989548,0.6443461179733276,0.5529178977012634,0.9233201742172241,-0.008749390952289104,0.8750146627426147,0.4516967236995697,0.939355194568634,-0.0907364934682846,0.8785991668701172
9,0.5164626240730286,0.32223790884017944,-0.42464953660964966,0.9999945163726807,0.5218053460121155,0.30356094241142273,-0.4144589900970459,0.9999913573265076,0.5253987908363342,0.30353686213493347,-0.41448765993118286,0.9999887943267822,0.528782844543457,0.30319076776504517,-0.4145902991294861,0.9999882578849792,0.511062502861023,0.3006429672241211,-0.41715702414512634,0.9999913573265076,0.5067626237869263,0.2985135614871979,-0.4172284007072449,0.9999898076057434,0.5022361278533936,0.2961670756340027,-0.41717830300331116,0.9999902248382568,0.5317765474319458,0.30189377069473267,-0.30618739128112793,0.9999790787696838,0.4935804009437561,0.29285192489624023,-0.32005900144577026,0.9999919533729553,0.5201521515846252,0.33707794547080994,-0.3797251582145691,0.9999966025352478,0.508007287979126,0.33576858043670654,-0.3837321400642395,0.9999979138374329,0.549558162689209,0.37057724595069885,-0.19729889929294586,0.9999763369560242,0.45371896028518677,0.3634384274482727,-0.2270161211490631,0.9999346733093262,0.5759093165397644,0.4986724555492401,-0.1448095738887787,0.9908203482627869,0.4148523211479187,0.4832138419151306,-0.19129815697669983,0.994709312915802,0.5989993810653687,0.6251146793365479,-0.21046118438243866,0.9798233509063721,0.4025046229362488,0.5996785759925842,-0.26444464921951294,0.9654203653335571,0.6056057810783386,0.6580197811126709,-0.23476311564445496,0.9540552496910095,0.39658594131469727,0.6344927549362183,-0.286014586687088,0.9176934361457825,0.5991258025169373,0.6594160199165344,-0.26326417922973633,0.9583016037940979,0.4021226763725281,0.6361472606658936,-0.3196759819984436,0.9201403260231018,0.5948811173439026,0.6494647264480591,-0.22384512424468994,0.952701985836029,0.4054923951625824,0.6244425177574158,-0.2781553864479065,0.9041634798049927,0.5083853006362915,0.5757922530174255,0.026272157207131386,0.9995668530464172,0.461963951587677,0.565155565738678,-0.02630865015089512,0.9989780783653259,0.5533427000045776,0.7350845336914062,-0.09120732545852661,0.9210897088050842,0.4538632333278656,0.7020770311355591,-0.14914090931415558,0.9585291147232056,0.5152178406715393,0.8745731115341187,0.047613970935344696,0.9022051692008972,0.4518741965293884,0.8764011859893799,-0.017726806923747063,0.9234781861305237,0.5001660585403442,0.8958560228347778,0.05616437643766403,0.8032552599906921,0.4544103741645813,0.8943156599998474,-0.011666490696370602,0.6522741317749023,0.5508145093917847,0.92341148853302,-0.02946935035288334,0.870206892490387,0.4491420388221741,0.934509813785553,-0.12120207399129868,0.8814615607261658
